"2024002992684MACAO DE COND JACUIPE LTDA ME","CANDEIAS"
"A L S FORMACAO DE CONDUTORES LTDA ME","MUCURI"
"A L S FORMACAO DE CONDUTORES LTDA ME","NOVA VICOSA"
"ABB CENTRO DE FORMACAO DE CONDUTORES LTDA ME","SALVADOR"
"ADRIANO FERNANDES SANTOS ME","POJUCA"
"ADRIEL DO NASCIMENTO","MONTE SANTO"
"ANGELO MARCIO PEREIRA ME","VITORIA DA CONQUISTA"
"ANTONIO JOSE LEITE & CIA LTDA","SANTO ANTONIO DE JESUS"
"ANTONIO JOSE LEITE & CIA LTDA","VERA CRUZ"
"AUTO ESCOLA AMORIM LTDA ME","FEIRA DE SANTANA"
"AUTO ESCOLA BARREIRAS LTDA ME","SALVADOR"
"AUTO ESCOLA BONCONSELHO LTDA ME","CICERO DANTAS"
"AUTO ESCOLA BRASIL LTDA ME","SALVADOR"
"AUTO ESCOLA CANDEIAS LTDA ME","CANDEIAS"
"AUTO ESCOLA CARINHANHA LTDA","CARINHANHA"
"AUTO ESCOLA EDUCAR BRASIL LTDA-ME","SERRINHA"
"AUTO ESCOLA GAMA LTDA ME","MUCURI"
"AUTO ESCOLA GIRASSOL LTDA","CACHOEIRA"
"AUTO ESCOLA GUAIBIM LTDA","VALENCA"
"AUTO ESCOLA GUANAMBI LTDA ME","GUANAMBI"
"AUTO ESCOLA HABILITAR LTDA ME","SENHOR DO BONFIM"
"AUTO ESCOLA KADOSH LTDA","POCOES"
"AUTO ESCOLA LAPAO LTDA ME","LAPAO"
"AUTO ESCOLA MILAGRE LTDA","SALVADOR"
"AUTO ESCOLA NASCIMENTO SOUZA LTDA-ME","OLINDINA"
"AUTO ESCOLA ONIX COARACI LTDA ME","COARACI"
"AUTO ESCOLA PARAGUASSU LTDA ME","SANTO ESTEVAO"
"AUTO ESCOLA PARAISO LTDA ME","CATU"
"AUTO ESCOLA PARAISO LTDA ME","SAO SEBASTIAO DO PASSE"
"AUTO ESCOLA PROGRESSO CENTRO DE FORM DE COND LTDA","CAMACARI"
"AUTO ESCOLA RENASCER EIRELI ME","SALVADOR"
"AUTO ESCOLA RIBEIRO SILVA LTDA ME","TEIXEIRA DE FREITAS"
"AUTO ESCOLA SANTA LUZIA LTDA","SANTALUZ"
"AUTO ESCOLA SANTIAGO SILVA LTDA","JEQUIE"
"AUTO ESCOLA SAO SEBASTIAO LTDA","SAO SEBASTIAO DO PASSE"
"AUTO ESCOLA SINAL VERDE ILHEUS LTDA ME","ILHEUS"
"AUTO ESCOLA SUDOESTE LTDA ME","VITORIA DA CONQUISTA"
"AUTO ESCOLA TEIXEIRA DE ALCOBACA LTDA ME","ALCOBACA"
"AUTO ESCOLA TEIXEIRA DE ITANHEM LTDA ME","ITANHEM"
"AUTO ESCOLA TEIXEIRA EIRELI","TEIXEIRA DE FREITAS"
"AUTO ESCOLA TRES ESTRELAS LTDA ME","SALVADOR"
"AUTO ESCOLA VOLANTE LTDA ME","IBIPITANGA"
"AUTO ESCOLA VOLANTE LTDA ME","IBITIARA"
"AUTO ESCOLA VOLANTE LTDA ME","MACAUBAS"
"AUTO ESCOLA VOLANTE LTDA ME","OLIVEIRA DOS BREJINHOS"
"AUTO ESCOLA XIQUE-XIQUE LTDA ME","XIQUE XIQUE"
"AUTOVIA E DESENVOLVIMENTO LTDA","MEDEIROS NETO"
"AUTOVIA E DESENVOLVIMENTO LTDA ME","TEIXEIRA DE FREITAS"
"BRANDAO SANTOS FORMACAO DE CONDUTORES LTDA ME","ILHEUS"
"BRANDAO SANTOS FORMACAO DE CONDUTORES LTDA ME","IPIAU"
"BRANDAO SANTOS FORMACAO DE CONDUTORES LTDA ME","UBATA"
"BRITO E VAZ LTDA ME","ITAPETINGA"
"C DE FORM DE CONDUTORES MAGALHAES NOVAIS LTDA ME","BOM JESUS DA LAPA"
"C DE FORMACAO DE CONDUTORES CUSTODIO DAVID LTDA","CONDEUBA"
"C DE FORMACAO DE CONDUTORES CUSTODIO DAVID LTDA","MORTUGABA"
"C DE FORMACAO DE CONDUTORES NOVA ESCOLA MODELO LTD","JUAZEIRO"
"C DE FORMACAO DE CONDUTORES NOVO HORIZONTE LTDA ME","SALVADOR"
"C F C APOLLO LTDA ME","GUANAMBI"
"C.S.P CENTRO DE FORMACAO DE CONDUTORES LTDA","EUCLIDES DA CUNHA"
"C.S.P CENTRO DE FORMACAO DE CONDUTORES LTDA","MUTUIPE"
"C.S.P CENTRO DE FORMACAO DE CONDUTORES LTDA","UBAITABA"
"CARVALHO GARCIA & CIA LTDA","SIMOES FILHO"
"CENT DE FORM DE COND OESTE SAMAVI LTDA","SANTA MARIA DA VITORIA"
"CENT DE FORM DE CONDUTORES JOAQUIM ROMAO LTDA ME","JEQUIE"
"CENT DE FORM DE CONDUTORES TRANSITO LIVRE LTDA ME","SALVADOR"
"CENT FORM DE COND AUTOM LIDERANCA POSITIVA LTDA ME","FEIRA DE SANTANA"
"CENTDEFORM DE CONDUT AUTOMOTIVOS JOTA JOTA LTDA-ME","FEIRA DE SANTANA"
"CENTREINE CENTRO DE FORMACAO DE CONDUTORES LTDA","ARACI"
"CENTRO DE F DE C DE VECULOS ALBUQUERQUE LTDA ME","PAULO AFONSO"
"CENTRO DE F DE C OESTE DE BOM JESUS DA LAPA LTDAME","BOM JESUS DA LAPA"
"CENTRO DE F DE COND NOVA HABILITE SE LTDA ME","SALVADOR"
"CENTRO DE F DE CONDUTORES METROPOLITANO EIRELI","CAMACARI"
"CENTRO DE F E REQUALIFICACAO DE C DE V SHANNA LTDA","ITAMARAJU"
"CENTRO DE F.DE CONDUTORES MOV E TRANSITO LTDA ME","BARREIRAS"
"CENTRO DE FOR DE COND TRANSCURSOS SALVADOR LTDA","SALVADOR"
"CENTRO DE FOR DE CONDUTORES MARIA QUITERIA LTDA ME","FEIRA DE SANTANA"
"CENTRO DE FOR DE CONDUTORES SANTO ANTONIO  LTDA","MUTUIPE"
"CENTRO DE FOR DE CONDUTORES SANTO ANTONIO LTDA ME","SANTO ANTONIO DE JESUS"
"CENTRO DE FORM DE COND DO NORDESTE DA BAHIA LTDAME","PAULO AFONSO"
"CENTRO DE FORM DE COND SAO GONCALO DOS CAMPOS LTDA","CONCEICAO DA FEIRA"
"CENTRO DE FORM DE COND SAO SALVADOR LTDA ME","SALVADOR"
"CENTRO DE FORM DE CONDUTORES FIUZA LTDA ME","SERRINHA"
"CENTRO DE FORM DE CONDUTORES JUAZEIRO LTDA","JUAZEIRO"
"CENTRO DE FORM DE CONDUTORES MAIS AMIGOS LTDA-ME","SANTO ANTONIO DE JESUS"
"CENTRO DE FORM DE CONDUTORES NOVA FATIMA EIRELI ME","NOVA FATIMA"
"CENTRO DE FORM DE CONDUTORES NOVA IDEIA LTDA ME","CAMACARI"
"CENTRO DE FORM DE CONDUTORES SAO GONCALO LTDA ME","SAO GONCALO DOS CAMPOS"
"CENTRO DE FORM DE CONDUTORES SO PRA ELAS LTDA ME","FEIRA DE SANTANA"
"CENTRO DE FORM DE CONDUTORES TUCANO LTDA ME","TUCANO"
"CENTRO DE FORM DE CONDUTSUPER NOVA CONQUISTALTDAME","CANDIDO SALES"
"CENTRO DE FORMAC DE COND PARAISO REGIONAL LTDA ME","CONCEICAO DO JACUIPE"
"CENTRO DE FORMACAO COND IMPERIO RODAS LTDA ME","FEIRA DE SANTANA"
"CENTRO DE FORMACAO CONDUTORES EQUILIBRIO LTDA","SALVADOR"
"CENTRO DE FORMACAO DE C SAO CRISTOVAO LTDA ME","BRUMADO"
"CENTRO DE FORMACAO DE CON DESCOBRIMENTO LTDA","PORTO SEGURO"
"CENTRO DE FORMACAO DE COND AB SAO PEDRO LTDA ME","ITORORO"
"CENTRO DE FORMACAO DE COND ANTAS BA LTDA","ANTAS"
