"ADRIANO ALMEIDA DE ARAUJO","MURITIBA"
"ADRIANO COSTA AMORIM TRANSITAR","CACHOEIRA"
"AGUIAR & SOUZA LTDA ME","ITAPETINGA"
"AIG CLINICA DO TRANSITO LTDA","SAO SEBASTIAO DO PASSE"
"ALEX ANDRADE DANTAS LTDA","CAMAMU"
"ANAGETRANS CLINICA DE MEDICINA NO TRANSITO LTDA","ANAGE"
"ANDREIA SOUZA AZEVEDO ALVES E CIA LTDA ME","LIVRAMENTO DE NOSSA SENHORA"
"APTO TRAN LTDA","CACULE"
"ARAUJO QUEIROZ CLINICA LTDA","SANTO ESTEVAO"
"ARLLEN GRAEL GOMES DA SILVA ME","CAMPO FORMOSO"
"ATENDIMENTO MEDICO E PSICOLOGICO LTDA","SANTO ANTONIO DE JESUS"
"AURIGA CLINCA TRANSITO LTDA ME","CAMACARI"
"AURIGA CLINICA TRANSITO LTDA","SANTO ANTONIO DE JESUS"
"AUTO-CLINICA MEDEIROS NETO LTDA ME","MEDEIROS NETO"
"AUTOMED - CLINICA MEDICA LTDA ME","FEIRA DE SANTANA"
"AVALLIARE SERVICOS MEDICOS E PSICOLOGICOS LTDA","SALVADOR"
"B ALENCAR CLINICA DO TRANSITO LTDA","SAO GONCALO DOS CAMPOS"
"B E F GESTAO EMPRESARIAL E SERVICOS DE PSI EIRELI","SALVADOR"
"BAHIA CLINICAS LTDA ME","PORTO SEGURO"
"BAHIA TRAFEGO CONSULTORIA PSICO MEDICO LTDA","SALVADOR"
"BD CLINICA DE TRANSITO LTDA","FEIRA DE SANTANA"
"BLI CLINICA DE PSICO E MEDICINA DO TRAFEGO LTDA","MORRO DO CHAPEU"
"BM CLINICA DO TRANSITO LTDA ME","BARREIRAS"
"BPA CLINICA DO TRANSITO LTDA","ALAGOINHAS"
"BREJOTRANS CLINICA DE MEDICINA DO TRANSITO LTDA","ITUACU"
"C INTEG DE SAUDE E OFTLAMO DE CAJAZEIRAS LTDA ME","SALVADOR"
"C PRINCESINHA DO TRANSITO DE PSICOLOGIA E MEDICINA","FEIRA DE SANTANA"
"C.M.P. CLINICA DE MEDICINA E PSICOLOGIA LTDA ME","JUAZEIRO"
"CACMED MEDICINA E PSICOLOGIA DO TRANSITO LTDA","SALVADOR"
"CAM CLINICA ATENDIMENTO MEDICO LTDA ME","SENHOR DO BONFIM"
"CAMP CLINICA DE ATENDIMENTO MEDICO E PSICO LTDAME","CAMPO FORMOSO"
