Id_Municipio;Municipio;Populacao
3849;SALVADOR;2568928
3871;SANTO AMARO;58413
3037;SAUBARA;11842
3927;TEODORO SAMPAIO;7301
3933;TERRA NOVA;11035
3305;ACAJUTIBA;14215
3313;ALAGOINHAS;160662
3337;APORA;16379
3259;ARACAS;11946
3343;ARAMARI;10122
3439;CARDEAL DA SILVA;8634
3449;CATU;50153
3455;CICERO DANTAS;32268
3471;CONDE;24434
3491;CRISOPOLIS;20343
3509;ENTRE RIOS;39902
3511;ESPLANADA;34146
3089;FATIMA;18469
3575;INHAMBUPE;35397
3631;ITAPICURU;33254
3659;JANDAIRA;9535
3759;NOVA SOURE;24906
3763;OLINDINA;23085
3767;OURICANGAS;7939
3777;PARIPIRANGA;27866
3783;PEDRAO;6415
3841;RIO REAL;36997
3893;SATIRO DIAS;16485
3307;AGUA FRIA;14871
3321;AMELIA RODRIGUES;24848
3329;ANGUERA;11456
3333;ANTONIO CARDOSO;11501
3427;CANDEAL;7969
3469;CONCEICAO DO JACUIPE;37409
3477;CORACAO DE MARIA;28258
3515;FEIRA DE SANTANA;657948
3591;IRARA;29509
3851;SANTA BARBARA;21723
3867;SANTANOPOLIS;9023
3875;SANTO ESTEVAO;54940
3885;SAO GONCALO DOS CAMPOS;41909
3921;TANQUINHO;7983
3323;ANAGE;26715
3357;BARRA DO CHOCA;38481
3369;BELO CAMPO;19042
3263;BOM JESUS DA SERRA;10028
3269;CAETANOS;11500
3433;CANDIDO SALES;26465
3271;CARAIBAS;10260
3473;CONDEUBA;17571
3479;CORDEIROS;7763
3507;ENCRUZILHADA;19535
3975;MAETINGA;7212
3297;MIRANTE;10523
3755;NOVA CANAA;14035
3795;PIRIPA;9255
3801;PLANALTO;24036
3803;POCOES;50642
3815;PRESIDENTE JANIO QUADROS;12986
3935;TREMEDAL;16691
3965;VITORIA DA CONQUISTA;394024
3317;ALMADINA;5327
3073;ARATACA;10463
3347;AURELINO LEAL;11409
3365;BARRO PRETO;5966
3393;BUERAREMA;15056
3411;CAMACAN;22756
3459;COARACI;17663
3519;FLORESTA AZUL;11442
3541;IBICARAI;22200
3555;IBIRAPITANGA;26794
3597;ITABUNA;196676
3609;ITAJU DO COLONIA;6157
3611;ITAJUIPE;19249
3625;ITAPE;10658
3633;ITAPITANGA;10630
3069;JUSSARI;6059
3719;MASCOTE;13941
3779;PAU BRASIL;9584
3857;SANTA CRUZ DA VITORIA;4721
3987;SANTA LUZIA;14377
3035;SAO JOSE DA VITORIA;5451
3943;UBAITABA;17967
3303;ABARE;18240
3331;ANTAS;15061
3453;CHORROCHO;10929
3483;CORONEL JOAO SA;17593
3527;GLORIA;16072
3663;JEREMOABO;39501
3699;MACURURE;7455
3015;NOVO TRIUNFO;11197
3781;PAULO AFONSO;119128
3785;PEDRO ALEXANDRE;14288
3843;RODELAS;10801
3853;SANTA BRIGIDA;15421
3043;SITIO DO QUINTO;14359
3311;AIQUARA;4586
3257;APUAREMA;7114
3361;BARRA DO ROCHA;5920
3373;BOA NOVA;14052
3489;CRAVOLANDIA;4514
3499;DARIO MEIRA;11094
3529;GONGOGI;5567
3559;IBIRATAIA;19375
3579;IPIAU;42507
3585;IRAJUBA;6255
3587;IRAMAIA;11060
3603;ITAGI;14314
3605;ITAGIBA;15792
3615;ITAMARI;7219
3635;ITAQUARA;8448
3639;ITIRUCU;11261
3653;JAGUAQUARA;47738
3661;JEQUIE;168733
3667;JITAUNA;14815
3675;LAFAIETE COUTINHO;4221
3291;LAJEDO DO TABOCAL;7702
3709;MANOEL VITORINO;14295
3711;MARACAS;29197
3799;PLANALTINO;8254
3859;SANTA INES;10628
3945;UBATA;16097
3417;CAMPO ALEGRE DE LOURDES;32377
3443;CASA NOVA;75815
3497;CURACA;36021
3669;JUAZEIRO;254481
3789;PILAO ARCADO;37272
3821;REMANSO;42746
3903;SENTO SE;
3045;SOBRADINHO;26959
3325;ANDARAI;13531
3375;BOA VISTA DO TUPIM;17307
3537;IACU;25333
3553;IBIQUERA;3837
3595;ITABERABA;
3601;ITAETE;13822
3681;LAJEDINHO;3621
3717;MARCIONILIO SOUZA;9507
3011;NOVA REDENCAO;7708
3845;RUY BARBOSA;29606
3955;UTINGA;16691
3967;WAGNER;9847
3327;ANGICAL;14178
3349;BAIANOPOLIS;14110
3363;BARREIRAS;170667
3447;CATOLANDIA;3560
3487;COTEGIPE;13472
3493;CRISTOPOLIS;14514
3521;FORMOSA DO RIO PRETO;27421
1112;LUIS EDUARDO MAGALHAES;116662
3977;MANSIDAO;14484
3825;RIACHAO DAS NEVES;22323
3549;SANTA RITA DE CASSIA;28826
3877;SAO DESIDERIO;34783
3999;WANDERLEY;13436
3345;ARATUIPE;
3503;DOM MACEDO COSTA;4588
3623;ITAPARICA;20369
3657;JAGUARIPE;18300
3665;JIQUIRICA;14066
3677;LAJE;21704
3745;MUNIZ FERREIRA;7443
3749;MUTUIPE;20612
3751;NAZARE;28403
3985;RAFAEL JAMBEIRO;20146
3847;SALINAS DA MARGARIDA;15568
3873;SANTO ANTONIO DE JESUS;109267
3941;UBAIRA;19162
3049;VARZEDO;10296
3963;VERA CRUZ;44978
3613;ITAMARAJU;
3287;JUCURUCU;9944
3425;CANAVIEIRAS;34343
3573;ILHEUS;189028
3599;ITACARE;29337
3715;MARAU;25626
3949;UNA;18403
3953;URUCUCA;22130
3253;ADUSTINA;14554
3261;BANZAE;12309
3435;CANSANCAO;39556
3085;CANUDOS;16662
3457;CIPO;17836
3513;EUCLIDES DA CUNHA;64547
3097;HELIOPOLIS;13074
3731;MONTE SANTO;49823
3819;QUIJINGUE;26457
3831;RIBEIRA DO AMPARO;14525
3833;RIBEIRA DO POMBAL;56170
3937;TUCANO;50959
3939;UAUA;25441
3071;AMERICA DOURADA;15583
3353;BARRA;53528
3359;BARRA DO MENDES;14345
3075;BARRO ALTO;13911
3079;BURITIRAMA;20212
3405;CAFARNAUM;18039
3423;CANARANA;24989
3451;CENTRAL;16849
3525;GENTIO DO OURO;11263
3547;IBIPEBA;17128
3563;IBITITA;17509
3593;IRECE;78425
3281;ITAGUACU DA BAHIA;12683
3099;JOAO DOURADO;25799
3671;JUSSARA;16956
3973;LAPAO;26998
3735;MORRO DO CHAPEU;35224
3299;MULUNGU DO MORRO;13625
3813;PRESIDENTE DUTRA;15650
3989;SAO GABRIEL;19210
3947;UIBAI;13880
3971;XIQUE XIQUE;46979
3381;BOQUIRA;19829
3403;CAETITE;54572
3431;CANDIBA;13425
3441;CARINHANHA;30375
3275;FEIRA DA MATA;5825
3533;GUANAMBI;93065
3551;IBIPITANGA;14316
3569;IGAPORA;16047
